incident_no,day,time_on_twitter,projected_start,event_end,full_tweet,category,projected_start_prj,event_end_prj,true_event_start,true_event_end,xcoord,ycoord,event_duration,event_time
1,42370,11:40,11:40,13:40,Traffic congestion on Main Rd intersecting with Glengariff Rd in Sea Point.,traffic,1,1,13:40,15:40,18.397511,-33.908201,02:00,2016-01-01T15:40:00Z
2,42370,12:32,12:32,14:32,"Traffic congestion on Victoria Rd from Camps Bay entrance to 2nd Beach, Clifton.",traffic,1,1,14:32,16:32,18.349373,-33.988702,02:00,2016-01-01T16:32:00Z
3,42370,12:35,12:35,14:35,"Traffic gridlocked along Baden Powell, Main road in Muizenberg. Please try and avoid this area.",traffic,1,1,14:35,16:35,18.481876,-34.101834,02:00,2016-01-01T16:35:00Z
6,42371,07:26,07:26,08:14,Traffic lights at Hindle- Delft Main in Voorbrug are flashing. The department is attending.,traffic,1,,09:26,10:14,18.642973,-33.976522,00:48,2016-01-02T10:14:00Z
7,42371,07:27,07:27,09:35,Traffic lights at R102 - Grove are flashing. The department is attending.,traffic,1,,09:27,11:35,18.676207,-33.934675,02:08,2016-01-02T11:35:00Z
8,42371,07:29,07:29,08:12,Traffic lights at Century Blvd - Entrance 7 are flashing. The department is attending.,traffic,1,,09:29,10:12,18.510982,-33.896179,00:43,2016-01-02T10:12:00Z
9,42371,07:33,07:33,08:31,Traffic lights at Klipfontein - Steve Biko Rd in Guguletu are flashing. The department is attending.,traffic,1,,09:33,10:31,18.564032,-33.974533,00:58,2016-01-02T10:31:00Z
10,42372,12:11,06:20,08:20,There is an electrical fault affecting the Bonteheuwel area ( Firethorn; Bluegum & Vicinity) as of 08:20. The department is attending.,electric,,1,08:20,10:20,18.552624,-33.950734,02:00,2016-01-03T10:20:00Z
11,42372,16:55,14:40,18:25,"There is currently an electrical fault affecting Plumstead, Exmouth road & surr as of 16:40. The department is currently attending to this.",electric,,,16:40,20:25,18.476231,-34.023691,03:45,2016-01-03T20:25:00Z
12,42372,17:05,15:00,17:00,"There is currently an electrical fault affecting Vrygrond, Drury road & surr as of 17:00. The department is currently attending to this.",electric,,1,17:00,19:00,18.4875,-34.086364,02:00,2016-01-03T19:00:00Z
13,42372,18:54,18:40,20:40,"There is currently an electrical fault affecting Brackenfell Ind, Patrys crescent as of 20:40. The department is currently attending to this",electric,,1,20:40,22:40,18.701661,-33.863267,02:00,2016-01-03T22:40:00Z
