OGC_FID,GEOMETRY,pk,pkuid,incident_no,day,time_on_twitter,projected_start,event_end,full_tweet,category,projected_start_prj,event_end_prj,true_event_start,true_event_end,xcoord,ycoord,event_time,event_duration
1,,1,1,1,2016-01-01,11:40,11:40,13:40,Traffic congestion on Main Rd intersecting with Glengariff Rd in Sea Point.,traffic,1,1,13:40,15:40,18.397511,-33.908201,423700.5694,02:00
2,,2,2,2,2016-01-01,12:32,12:32,14:32,"Traffic congestion on Victoria Rd from Camps Bay entrance to 2nd Beach, Clifton.",traffic,1,1,14:32,16:32,18.349373,-33.988702,423700.6056,02:00
3,,3,3,3,2016-01-01,12:35,12:35,14:35,"Traffic gridlocked along Baden Powell, Main road in Muizenberg. Please try and avoid this area.",traffic,1,1,14:35,16:35,18.481876,-34.101834,423700.6076,02:00
4,,4,4,6,2016-01-02,07:26,07:26,08:14,Traffic lights at Hindle- Delft Main in Voorbrug are flashing. The department is attending.,traffic,1,,09:26,10:14,18.642973,-33.976522,423710.3931,00:48
5,,5,5,7,2016-01-02,07:27,07:27,09:35,Traffic lights at R102 - Grove are flashing. The department is attending.,traffic,1,,09:27,11:35,18.676207,-33.934675,423710.3938,02:08
6,,6,6,8,2016-01-02,07:29,07:29,08:12,Traffic lights at Century Blvd - Entrance 7 are flashing. The department is attending.,traffic,1,,09:29,10:12,18.510982,-33.896179,423710.3951,00:43
7,,7,7,9,2016-01-02,07:33,07:33,08:31,Traffic lights at Klipfontein - Steve Biko Rd in Guguletu are flashing. The department is attending.,traffic,1,,09:33,10:31,18.564032,-33.974533,423710.3979,00:58
8,,8,8,10,2016-01-03,12:11,06:20,08:20,There is an electrical fault affecting the Bonteheuwel area ( Firethorn; Bluegum & Vicinity) as of 08:20. The department is attending.,electric,,1,08:20,10:20,18.552624,-33.950734,423720.3472,02:00
9,,9,9,11,2016-01-03,16:55,14:40,18:25,"There is currently an electrical fault affecting Plumstead, Exmouth road & surr as of 16:40. The department is currently attending to this.",electric,,,16:40,20:25,18.476231,-34.023691,423720.6944,03:45
10,,10,10,12,2016-01-03,17:05,15:00,17:00,"There is currently an electrical fault affecting Vrygrond, Drury road & surr as of 17:00. The department is currently attending to this.",electric,,1,17:00,19:00,18.4875,-34.086364,423720.7083,02:00
11,,11,11,13,2016-01-03,18:54,18:40,20:40,"There is currently an electrical fault affecting Brackenfell Ind, Patrys crescent as of 20:40. The department is currently attending to this",electric,,1,20:40,22:40,18.701661,-33.863267,423720.8611,02:00
12,,12,12,14,2016-01-03,19:02,18:10,20:10,"There is currently an electrical fault affecting Eversdal, Lynne close as of 20:10. The department is currently attending to this.",electric,,1,20:10,22:10,18.646271,-33.871345,423720.8403,02:00
13,,13,13,15,2016-01-03,19:29,18:30,20:30,"There is currently an electrical fault affecting Nyanga, KTC. Mbewana str & surr as of 20:30. The department is currently attending to this.",electric,,1,20:30,22:30,18.577332,-33.986962,423720.8542,02:00
14,,14,14,16,2016-01-04,04:24,04:24,05:51,Traffic lights at Campground-Mariendahl in Newlands are flashing. The department is attending to this.,traffic,1,,06:24,07:51,18.468934,-33.975102,423730.2667,01:27
15,,15,15,17,2016-01-04,04:26,04:26,04:55,Traffic lights at Durbanville-De Villiers in Durbanville are flashing. The department is attending to this.,traffic,1,,06:26,06:55,18.647209,-33.84254,423730.2681,00:29
16,,16,16,18,2016-01-04,04:28,04:28,04:56,Traffic lights at Main-Church-Durbanville are flashing. The department is attending to this.,traffic,1,,06:28,06:56,18.648406,-33.833943,423730.2694,00:28
17,,17,17,20,2016-01-04,04:43,04:43,09:42,Traffic lights at Blaauwberg-Marine are flashing. The department is attending to this.,traffic,1,,06:43,11:42,18.478336,-33.821995,423730.2799,04:59
18,,18,18,21,2016-01-04,04:50,04:50,12:18,Traffic lights at Sandown-Rivergate in Parklands are flashing. The department is attending to this.,traffic,1,,06:50,14:18,18.532286,-33.798016,423730.2847,07:28
19,,19,19,22,2016-01-04,06:23,06:23,08:19,Traffic lights at Milton-Townsend in Goodwood are flashing. The department is attending to this.,traffic,1,,08:23,10:19,18.540467,-33.905796,423730.3493,01:56
