incident_no,day,time_on_twitter,projected_start,event_end,full_tweet,category,projected_start_prj,event_end_prj,true_event_start,true_event_end
1,2016/01/01,11:40,11:40,13:40,Traffic congestion on Main Rd intersecting with Glengariff Rd in Sea Point.,traffic,1,1,13:40,15:40
2,2016/01/01,12:32,12:32,14:32,"Traffic congestion on Victoria Rd from Camps Bay entrance to 2nd Beach, Clifton.",traffic,1,1,14:32,16:32
3,2016/01/01,12:35,12:35,14:35,"Traffic gridlocked along Baden Powell, Main road in Muizenberg. Please try and avoid this area.",traffic,1,1,14:35,16:35
4,2016/01/01,12:38,12:38,14:38,We are experiencing one of the busiest seasons at our pools. In the interest of safety the gates will be closed once at capacity.,traffic,1,1,14:38,16:38
5,2016/01/01,13:27,13:27,15:27,"All beaches in the Western Cape full to capacity, please avoid.",traffic,1,1,15:27,17:27
6,2016/01/02,07:26,07:26,08:14,Traffic lights at Hindle/ Delft Main in Voorbrug are flashing. The department is attending.,traffic,1,,09:26,10:14
7,2016/01/02,07:27,07:27,09:35,Traffic lights at R102 / Grove are flashing. The department is attending.,traffic,1,,09:27,11:35
8,2016/01/02,07:29,07:29,08:12,Traffic lights at Century Blvd / Entrance 7 are flashing. The department is attending.,traffic,1,,09:29,10:12
9,2016/01/02,07:33,07:33,08:31,Traffic lights at Klipfontein / Steve Biko Rd in Guguletu are flashing. The department is attending.,traffic,1,,09:33,10:31
10,2016/01/03,12:11,06:20,08:20,There is an electrical fault affecting the Bonteheuwel area ( Firethorn; Bluegum & Vicinity) as of 08:20. The department is attending.,electric,,1,08:20,10:20
11,2016/01/03,16:55,14:40,18:25,"There is currently an electrical fault affecting Plumstead, Exmouth road & surr as of 16:40. The department is currently attending to this.",electric,,,16:40,20:25
12,2016/01/03,17:05,15:00,17:00,"There is currently an electrical fault affecting Vrygrond, Drury road & surr as of 17:00. The department is currently attending to this.",electric,,1,17:00,19:00
13,2016/01/03,18:54,18:40,20:40,"There is currently an electrical fault affecting Brackenfell Ind, Patrys crescent as of 20:40. The department is currently attending to this",electric,,1,20:40,22:40
14,2016/01/03,19:02,18:10,20:10,"There is currently an electrical fault affecting Eversdal, Lynne close as of 20:10. The department is currently attending to this.",electric,,1,20:10,22:10
15,2016/01/03,19:29,18:30,20:30,"There is currently an electrical fault affecting Nyanga, KTC. Mbewana str & surr as of 20:30. The department is currently attending to this.",electric,,1,20:30,22:30
16,2016/01/04,04:24,04:24,05:51,Traffic lights at Campground/Mariendahl in Newlands are flashing. The department is attending to this.,traffic,1,,06:24,07:51
17,2016/01/04,04:26,04:26,04:55,Traffic lights at Durbanville/De Villiers in Durbanville are flashing. The department is attending to this.,traffic,1,,06:26,06:55
18,2016/01/04,04:28,04:28,04:56,Traffic lights at Main/Church/Durbanville are flashing. The department is attending to this.,traffic,1,,06:28,06:56
19,2016/01/04,04:30,04:30,07:43,Traffic lights at Milner/Avenue De Mist are flashing. The department is attending to this.,traffic,1,,06:30,09:43
20,2016/01/04,04:43,04:43,09:42,Traffic lights at Blaauwberg/Marine are flashing. The department is attending to this.,traffic,1,,06:43,11:42
21,2016/01/04,04:50,04:50,12:18,Traffic lights at Sandown/Rivergate in Parklands are flashing. The department is attending to this.,traffic,1,,06:50,14:18
22,2016/01/04,06:23,06:23,08:19,Traffic lights at Milton/Townsend in Goodwood are flashing. The department is attending to this.,traffic,1,,08:23,10:19
23,2016/01/04,06:33,06:33,07:44,Traffic lights at Steve Biko/NY3 are flashing. The department is attending to this.,traffic,1,,08:33,09:44
24,2016/01/04,08:10,01:00,03:00,There is an electrical fault affecting the Parow Valley area ( Coniston road& Vicinity) as of 03:00. The department is attending to this.,electric,,1,03:00,05:00
25,2016/01/04,08:10,02:45,04:45,There is an electrical fault affecting the Retreat area ( 8 Ave & Vicinity) as of 04:45. The department is attending to this.,electric,,1,04:45,06:45
26,2016/01/04,08:13,05:30,08:17,There is an electrical fault affecting the Fresneay area ( Top Road & Vicinity) as of 07:30. The department is attending to this.,electric,,,07:30,10:17
27,2016/01/04,08:14,07:15,08:31,There is an electrical fault affecting the Fishoek area (Upper Recreation & Vicinity) as of 09:15. The department is attending to this.,electric,,,09:15,10:31
28,2016/01/04,08:15,04:50,06:50,There is an electrical fault affecting the Kalk Bay area ( Main & Vicinity) as of 06:50. The department is attending to this.,electric,,1,06:50,08:50
29,2016/01/04,08:30,08:30,09:45,Traffic lights at La Belle/Winelands are flashing. The department is attending to this.,traffic,1,,10:30,11:45
30,2016/01/04,08:34,08:34,10:03,Traffic lights at Helen Suzman/Vlei in Green Point are out. The department is attending to this.,traffic,1,,10:34,12:03
31,2016/01/04,09:31,09:31,09:43,Traffic lights at Frans Conradie/Hugo in Goodwood are out. The department is attending to this.,traffic,1,,11:31,11:43
32,2016/01/04,10:18,10:18,12:12,Traffic lights at Victoria/Suikerbossie are flashing. The department is attending to this.,traffic,1,,12:18,14:12
33,2016/01/04,10:20,10:20,12:14,Traffic lights at Van Riebeeck/Carinus in Kuils River are flashing. The department is attending to this.,traffic,1,,12:20,14:14
34,2016/01/04,10:32,08:20,10:20,There is an electrical fault affecting the Green Point area ( Main;Eaton& Vicinity) as of 10:20. The department is attending to this.,traffic,,1,10:20,12:20
35,2016/01/04,10:50,08:15,10:15,There is an electrical fault affecting the Gugulethu area ( NY 112; ) as of 10:15. The department is attending to this.,traffic,,1,10:15,12:15
36,2016/01/04,12:06,12:06,14:35,Traffic lights at the R102 / Firgrove are flashing. The department is attending.,traffic,1,,14:06,16:35
37,2016/01/04,12:28,09:45,11:45,There is an electrical fault affecting the Claremont area ( Thompson; Queen Victoria & Vicinity) as of 11:45. The department is attending.,electric,,1,11:45,13:45
38,2016/01/05,06:48,06:48,06:57,Traffic lights at Arauna/Brackenfell/Stanley in Brackenfell are flashing. The department is attending to this.,traffic,1,,08:48,08:57
39,2016/01/05,07:47,07:47,08:41,Traffic lights at Buitenkant/Castle in the CBD are flashing. The department is attending to this.,traffic,1,,09:47,10:41
40,2016/01/05,09:31,09:31,11:31,"Stationary vehicle on the N2 inbound at Hospital Bend. Center lane closed, expect delays.",traffic,1,1,11:31,13:31
41,2016/01/05,12:10,12:10,12:40,Traffic lights at the Vryburger Ave / Botma St in Bothasig are flashing. The department is attending.,traffic,1,,14:10,14:40
42,2016/01/05,12:38,12:38,14:38,Traffic lights at the Riebeeck / Carinus are flashing. The department is attending.,traffic,1,1,14:38,16:38
43,2016/01/05,13:28,13:28,14:53,Traffic lights at the Malta / Link are flashing. The department is attending.,traffic,1,,15:28,16:53
44,2016/01/05,15:02,15:02,17:02,"Crash on Jakes Gerwel Dr north, centre lane obstructed before Voortrekker Rd. Proceed with caution.",traffic,1,1,17:02,19:02
45,2016/01/05,15:47,15:47,17:47,Traffic lights at the Vryburger Ave / Tafelberg St in Bothasig are flashing. The department is attending.,traffic,1,1,17:47,19:47
46,2016/01/05,16:06,16:06,17:17,"Ramp closed on the N2 inbound at the Airport Approach off-ramp, use alternative route.",traffic,1,,18:06,19:17
47,2016/01/06,04:30,04:30,05:42,Traffic lights at Jip De Jager/Van Riebeeckshof are flashing. The department is attending to this.,traffic,1,,06:30,07:42
48,2016/01/06,04:46,04:46,05:27,"Stationary vehicle on the N2 inbound at Mowbray Main off ramp. Left lane closed, expect delays.",traffic,1,,06:46,07:27
49,2016/01/06,04:48,04:48,07:10,Traffic lights at Nooiensfontein/Carinus in Kuils River are flashing. The department is attending to this.,traffic,1,,06:48,09:10
50,2016/01/06,04:50,04:50,05:42,Traffic lights at Ottery/Torrens in Ottery are flashing. The department is attending to this.,traffic,1,,06:50,07:42
51,2016/01/06,04:54,00:45,02:45,"There is currently an electrical fault in Ravensmead, 1st Ave, 2nd Ave, Poplar St & surr, as of 01:45",electric,,1,02:45,04:45
52,2016/01/06,07:47,05:00,07:00,"There is currently an electrical fault affecting Philippi, as of 07:00. The department is currently attending to this.",electric,,1,07:00,09:00
53,2016/01/06,07:48,06:00,14:00,Planned electrical maintenance today in Milnerton (Mimosa street) from 08:00 ? 16:00. Contact 0860 103 089 for more info,electric,,,08:00,16:00
54,2016/01/06,09:30,09:30,10:21,"Crash on M5 south at Berkley. Centre lane closed, expect delays.",traffic,1,,11:30,12:21
55,2016/01/06,13:14,13:14,15:14,Traffic lights at Vryburger Ave / Botma St in Bothasig are flashing. The department is attending.,traffic,1,1,15:14,17:14
56,2016/01/06,13:27,13:27,15:27,Traffic lights at Eisleben / White Heart Lane in Weltevreden Valley are flashing. The department is attending.,traffic,1,1,15:27,17:27
57,2016/01/06,13:48,13:48,15:48,Traffic lights at Brackenfell Blvd / Bottelary Rd in Brackenfell are flashing. The department is attending.,traffic,1,1,15:48,17:48
58,2016/01/06,16:43,14:43,16:43,Stationary vehicle on the N2 inbound before Jakes Gerwel Dr.,traffic,,,16:43,18:43
59,2016/01/07,04:08,04:08,07:05,Traffic lights at R300/Hindle in Delft are flashing. The department is attending to this.,traffic,1,,06:08,09:05
60,2016/01/07,04:10,04:10,07:03,Traffic lights at Spine/Church in Strandfontein are flashing. The department is attending to this.,traffic,1,,06:10,09:03
61,2016/01/07,04:12,04:12,06:03,Traffic lights at Beach/Three Anchor Bay are flashing. The department is attending to this.,traffic,1,,06:12,08:03
62,2016/01/07,04:23,04:23,07:04,Traffic lights at Duinefontein/Ascension in Heideveld are flashing. The department is attending to this.,traffic,1,,06:23,09:04
63,2016/01/07,04:32,04:32,05:27,"Crash on N1 inbound before Plattekloof. Two lanes closed, expect delays.",traffic,1,,06:32,07:27
64,2016/01/07,06:18,06:18,08:18,There is an electrical fault affecting the Scarborough area ( Pine Haven ) as of yesterday. The department is attending to this.,electric,1,1,08:18,10:18
65,2016/01/07,06:19,06:00,08:00,There is an electrical fault affecting the Phillippi area ( Vredelust Farm & Vicinity ) as of 08:00. The department is attending to this.,traffic,,1,08:00,10:00
66,2016/01/07,07:24,06:50,08:50,There is an electrical fault in the Green Point area ( Wigtown;Haytor;Daysart;Torbay;Sydney & Vicinity) as of 08:50. We Are attending.,electric,,1,08:50,10:50
67,2016/01/07,07:26,07:00,09:00,There is an electrical fault in the Sea Point area ( Milton & Vicinity) as of 09:00. We Are attending.,electric,,1,09:00,11:00
68,2016/01/07,09:15,09:15,10:26,Traffic lights at Adderley/Longmarket in the CBD are flashing. The department is attending to this.,traffic,1,,11:15,12:26
69,2016/01/07,09:50,09:50,11:50,Traffic lights at Main/Dido Valley in Simon?s Town are flashing. The department is attending to this.,traffic,1,1,11:50,13:50
70,2016/01/07,14:43,12:43,14:43,A Truck has lost a load of glass on Ou Kaapse Weg north at the Noordhoek turnoff.,traffic,,,14:43,16:43
71,2016/01/08,05:14,05:14,07:00,Traffic lights at Christiaan Barnard/Sir Lowry are flashing. The department is attending to this.,traffic,1,,07:14,09:00
72,2016/01/08,05:16,05:16,09:45,Traffic lights at Otto du Plessis/Marine in Table View are flashing. The department is attending to this.,traffic,1,,07:16,11:45
73,2016/01/08,05:43,05:43,07:43,"There is an electrical fault affecting the Woodstock area ( Newmarket, Dorset & Vicinity) as of Yesterday. The department is attending.",electric,1,1,07:43,09:43
74,2016/01/08,05:45,00:00,02:00,"There is an electrical fault affecting the Vredehoek area ( Virginia,Upper Maynard & Vicinity) as of 02:00. The department is attending.",electric,,1,02:00,04:00
75,2016/01/08,07:36,07:36,09:36,There is an electrical fault affecting the Rondebosch East area ( Smal Street) as of Yesterday. The department is attending.,electric,1,1,09:36,11:36
76,2016/01/08,07:37,06:52,08:52,There is an electrical fault affecting the Mannenberg area ( Irvin Street ) as of 08:52. The department is attending,electric,,1,08:52,10:52
77,2016/01/08,09:03,09:03,10:06,Traffic lights at La Belle/Winelands are flashing. The department is attending to this.,traffic,1,,11:03,12:06
78,2016/01/08,10:05,10:05,12:05,Traffic lights at Durbanville Ave/Pasita are flashing. The department is attending to this.,traffic,1,1,12:05,14:05
79,2016/01/08,12:08,12:08,14:08,Big Bay beach has been closed due to a spill on the boardwalk. The area is currently being cleaned.,traffic,1,1,14:08,16:08
80,2016/01/09,07:29,07:29,09:29,Traffic lights at Balvenie Ave / Norwood Rd are all out. The department is attending.,traffic,1,1,09:29,11:29
81,2016/01/09,07:34,07:34,08:09,Traffic lights at Koeberg Rd / Noble Rd in Sanddrift are flashing. The department is attending.,traffic,1,,09:34,10:09
82,2016/01/09,07:41,08:38,10:38,Traffic lights at Plattekloof Rd / Rothschild Blvd in Welgelegen are flashing. The department is attending.,traffic,,1,10:38,12:38
83,2016/01/09,15:03,06:30,14:00,Electrical Maintenance in Rondebosch Area ( Dulverton;Albion Oban & Vicinity) from 08:30?16:00.Contact 0860 103 089 for more info,electric,,,08:30,16:00
84,2016/01/09,15:03,14:00,16:00,Electrical Maintenance in Rondebosch Area ( Dulverton;Albion Oban & Vicinity) from 16:00.Contact 0860 103 089 for more info,electric,,1,16:00,18:00
85,2016/01/09,16:37,16:00,18:00,Electrical Maintenance in Goodwood ( Fisher road ) from 18:00.Contact 0860 103 089 for more info,electric,,1,18:00,20:00
86,2016/01/10,10:53,10:53,12:53,Update: The fire on Table Mountain is under control and being attended to. Vehicles from the fire department are on the scene.,traffic,1,1,12:53,14:53
